setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
IB,LONG,2025-04-29 13:35:00-04:00,5576.75,2025-04-29 15:55:00-04:00,5583.5,flatten,5556.5,5619.25,6.75,332.5
IB,LONG,2025-04-30 11:00:00-04:00,5519.0,2025-04-30 15:50:00-04:00,5580.0,target,5498.75,5580.0,61.0,3045.0
IB,LONG,2025-05-01 10:35:00-04:00,5667.25,2025-05-01 11:55:00-04:00,5647.0,stop,5647.0,5703.25,-20.25,-1017.5
IB,LONG,2025-05-01 14:45:00-04:00,5664.25,2025-05-01 15:50:00-04:00,5645.38,stop,5645.38,5700.25,-18.88,-948.75
IB,LONG,2025-05-05 10:40:00-04:00,5683.75,2025-05-05 15:55:00-04:00,5674.5,flatten,5668.5,5710.0,-9.25,-467.5
IB,LONG,2025-05-06 10:45:00-04:00,5647.75,2025-05-06 13:40:00-04:00,5627.5,stop,5627.5,5687.5,-20.25,-1017.5
IB,LONG,2025-05-06 14:55:00-04:00,5648.75,2025-05-06 15:55:00-04:00,5628.5,stop,5628.5,5688.5,-20.25,-1017.5
IB,SHORT,2025-05-07 10:50:00-04:00,5630.0,2025-05-07 12:50:00-04:00,5643.88,stop,5643.88,5605.0,-13.88,-698.75
IB,SHORT,2025-05-07 13:50:00-04:00,5630.25,2025-05-07 14:05:00-04:00,5605.25,target,5643.88,5605.25,25.0,1245.0
IB,SHORT,2025-05-08 11:00:00-04:00,5658.25,2025-05-08 11:10:00-04:00,5676.12,stop,5676.12,5624.25,-17.88,-898.75
IB,LONG,2025-05-08 11:20:00-04:00,5696.75,2025-05-08 11:40:00-04:00,5730.75,target,5676.5,5730.75,34.0,1695.0
IB,LONG,2025-05-12 13:05:00-04:00,5859.0,2025-05-12 15:55:00-04:00,5864.25,flatten,5838.75,5897.0,5.25,257.5
IB,SHORT,2025-05-14 11:00:00-04:00,5895.75,2025-05-14 11:20:00-04:00,5911.88,stop,5911.88,5869.75,-16.12,-811.25
IB,SHORT,2025-05-14 13:20:00-04:00,5893.0,2025-05-14 14:05:00-04:00,5911.88,stop,5911.88,5867.0,-18.88,-948.75
IB,LONG,2025-05-15 11:00:00-04:00,5907.0,2025-05-15 11:40:00-04:00,5927.75,target,5895.0,5927.75,20.75,1032.5
VA,SHORT,2025-05-19 14:20:00-04:00,5967.5,2025-05-19 14:25:00-04:00,5970.4,stop,5970.4,5953.41,-2.9,-149.85
IB,LONG,2025-05-20 10:35:00-04:00,5968.0,2025-05-20 11:00:00-04:00,5958.75,stop,5958.75,5983.75,-9.25,-467.5
IB,LONG,2025-05-20 13:00:00-04:00,5967.75,2025-05-20 13:45:00-04:00,5958.75,stop,5958.75,5983.5,-9.0,-455.0
IB,SHORT,2025-05-20 14:20:00-04:00,5948.75,2025-05-20 15:00:00-04:00,5933.0,target,5958.75,5933.0,15.75,782.5
IB,LONG,2025-05-21 11:05:00-04:00,5947.25,2025-05-21 13:10:00-04:00,5929.0,stop,5929.0,5978.0,-18.25,-917.5
IB,SHORT,2025-05-21 13:15:00-04:00,5912.0,2025-05-21 13:25:00-04:00,5881.25,target,5929.0,5881.25,30.75,1532.5
VA,LONG,2025-05-22 13:30:00-04:00,5879.0,2025-05-22 15:45:00-04:00,5872.75,stop,5872.75,5904.56,-6.25,-317.32
IB,SHORT,2025-05-26 10:35:00-04:00,5877.5,2025-05-26 11:50:00-04:00,5887.0,stop,5887.0,5865.75,-9.5,-480.0
IB,LONG,2025-05-27 10:50:00-04:00,5908.75,2025-05-27 15:55:00-04:00,5936.0,flatten,5888.5,5948.0,27.25,1357.5
IB,SHORT,2025-05-28 10:35:00-04:00,5921.0,2025-05-28 15:55:00-04:00,5901.5,flatten,5938.12,5892.5,19.5,970.0
VA,LONG,2025-05-29 11:30:00-04:00,5916.5,2025-05-29 11:55:00-04:00,5908.95,stop,5908.95,5922.59,-7.55,-382.44
IB,SHORT,2025-05-29 11:55:00-04:00,5894.75,2025-05-29 12:15:00-04:00,5915.0,stop,5915.0,5847.25,-20.25,-1017.5
IB,SHORT,2025-05-29 14:15:00-04:00,5904.75,2025-05-29 15:45:00-04:00,5925.0,stop,5925.0,5857.25,-20.25,-1017.5
VA,SHORT,2025-06-02 11:10:00-04:00,5913.25,2025-06-02 12:50:00-04:00,5921.39,stop,5921.39,5900.79,-8.14,-411.9
IB,LONG,2025-06-03 10:50:00-04:00,5961.75,2025-06-03 12:15:00-04:00,5982.5,target,5948.75,5982.5,20.75,1032.5
IB,LONG,2025-06-05 11:15:00-04:00,6002.5,2025-06-05 12:45:00-04:00,5982.25,stop,5982.25,6042.5,-20.25,-1017.5
IB,LONG,2025-06-10 10:40:00-04:00,6030.0,2025-06-10 11:30:00-04:00,6021.38,stop,6021.38,6041.0,-8.62,-436.25
IB,SHORT,2025-06-10 11:30:00-04:00,6014.25,2025-06-10 11:40:00-04:00,6021.38,stop,6021.38,6003.25,-7.12,-361.25
IB,LONG,2025-06-11 11:00:00-04:00,6064.25,2025-06-11 11:10:00-04:00,6049.25,stop,6049.25,6091.0,-15.0,-755.0
IB,SHORT,2025-06-11 14:00:00-04:00,6024.25,2025-06-11 15:55:00-04:00,6028.5,flatten,6044.5,5997.5,-4.25,-217.5
IB,LONG,2025-06-12 10:35:00-04:00,6043.0,2025-06-12 15:55:00-04:00,6050.5,flatten,6024.38,6074.5,7.5,370.0
IB,SHORT,2025-06-17 13:15:00-04:00,6006.0,2025-06-17 13:45:00-04:00,5986.5,target,6016.38,5986.5,19.5,970.0
VA,SHORT,2025-06-18 10:50:00-04:00,6014.25,2025-06-18 12:00:00-04:00,6002.71,target,6018.77,6002.71,11.54,571.87
IB,SHORT,2025-06-18 14:55:00-04:00,5980.75,2025-06-18 15:55:00-04:00,5982.75,flatten,6000.25,5943.5,-2.0,-105.0
VA,SHORT,2025-06-23 10:55:00-04:00,6039.5,2025-06-23 11:00:00-04:00,6046.84,stop,6046.84,6028.23,-7.34,-372.01
IB,LONG,2025-06-23 13:30:00-04:00,6059.25,2025-06-23 15:55:00-04:00,6076.75,flatten,6039.0,6106.75,17.5,870.0
IB,LONG,2025-06-24 11:20:00-04:00,6133.25,2025-06-24 15:30:00-04:00,6154.25,target,6119.62,6154.25,21.0,1045.0
IB,SHORT,2025-06-25 11:05:00-04:00,6145.75,2025-06-25 13:40:00-04:00,6134.0,target,6154.25,6134.0,11.75,582.5
IB,LONG,2025-06-26 10:45:00-04:00,6180.25,2025-06-26 14:15:00-04:00,6196.75,target,6167.62,6196.75,16.5,820.0
IB,SHORT,2025-06-30 13:55:00-04:00,6232.25,2025-06-30 14:55:00-04:00,6241.0,stop,6241.0,6217.0,-8.75,-442.5
IB,SHORT,2025-07-01 11:10:00-04:00,6229.25,2025-07-01 11:25:00-04:00,6243.5,stop,6243.5,6210.5,-14.25,-717.5
IB,LONG,2025-07-01 13:20:00-04:00,6254.0,2025-07-01 15:00:00-04:00,6243.5,stop,6243.5,6272.75,-10.5,-530.0
IB,LONG,2025-07-02 10:45:00-04:00,6260.75,2025-07-02 15:55:00-04:00,6275.25,flatten,6248.88,6281.75,14.5,720.0
IB,SHORT,2025-07-07 10:50:00-04:00,6290.75,2025-07-07 12:20:00-04:00,6274.75,target,6301.62,6274.75,16.0,795.0
IB,LONG,2025-07-10 10:40:00-04:00,6314.75,2025-07-10 13:20:00-04:00,6328.5,target,6303.0,6328.5,13.75,682.5
VA,LONG,2025-07-14 10:55:00-04:00,6297.75,2025-07-14 11:25:00-04:00,6301.07,target,6290.89,6301.07,3.32,160.84
IB,LONG,2025-07-14 11:25:00-04:00,6304.5,2025-07-14 15:55:00-04:00,6310.75,flatten,6290.12,6323.5,6.25,307.5
IB,SHORT,2025-07-15 10:35:00-04:00,6313.0,2025-07-15 15:55:00-04:00,6286.25,target,6328.25,6286.25,26.75,1332.5
IB,SHORT,2025-07-16 11:15:00-04:00,6263.5,2025-07-16 11:55:00-04:00,6283.75,stop,6283.75,6239.25,-20.25,-1017.5
VA,LONG,2025-07-16 13:10:00-04:00,6297.5,2025-07-16 13:25:00-04:00,6293.13,stop,6293.13,6308.03,-4.37,-223.5
IB,LONG,2025-07-16 14:55:00-04:00,6305.5,2025-07-16 15:55:00-04:00,6302.75,flatten,6289.75,6329.75,-2.75,-142.5
IB,LONG,2025-07-17 11:05:00-04:00,6325.5,2025-07-17 15:55:00-04:00,6342.25,flatten,6312.62,6346.5,16.75,832.5
IB,LONG,2025-07-22 14:35:00-04:00,6349.75,2025-07-22 15:55:00-04:00,6345.5,flatten,6334.0,6380.0,-4.25,-217.5
IB,LONG,2025-07-23 11:50:00-04:00,6375.0,2025-07-23 15:55:00-04:00,6394.75,target,6363.5,6394.75,19.75,982.5
IB,LONG,2025-07-24 10:45:00-04:00,6410.75,2025-07-24 12:15:00-04:00,6403.25,stop,6403.25,6424.5,-7.5,-380.0
IB,LONG,2025-07-24 13:05:00-04:00,6411.25,2025-07-24 15:45:00-04:00,6403.25,stop,6403.25,6425.0,-8.0,-405.0
IB,SHORT,2025-07-28 11:15:00-04:00,6420.25,2025-07-28 11:55:00-04:00,6429.25,stop,6429.25,6410.5,-9.0,-455.0
IB,SHORT,2025-07-29 10:40:00-04:00,6425.0,2025-07-29 11:20:00-04:00,6410.75,target,6432.75,6410.75,14.25,707.5
IB,SHORT,2025-07-30 11:10:00-04:00,6403.5,2025-07-30 11:55:00-04:00,6412.12,stop,6412.12,6389.5,-8.62,-436.25
IB,LONG,2025-07-30 13:40:00-04:00,6421.75,2025-07-30 14:40:00-04:00,6412.12,stop,6412.12,6435.75,-9.62,-486.25
IB,SHORT,2025-07-30 14:50:00-04:00,6398.0,2025-07-30 14:55:00-04:00,6384.0,target,6412.12,6384.0,14.0,695.0
IB,SHORT,2025-07-31 10:50:00-04:00,6424.0,2025-07-31 13:25:00-04:00,6400.75,target,6439.25,6400.75,23.25,1157.5
VA,LONG,2025-07-31 13:50:00-04:00,6389.5,2025-07-31 13:55:00-04:00,6384.27,stop,6384.27,6400.06,-5.23,-266.57
VA,LONG,2025-08-05 11:10:00-04:00,6331.0,2025-08-05 11:15:00-04:00,6325.59,stop,6325.59,6340.52,-5.41,-275.49
IB,SHORT,2025-08-05 14:15:00-04:00,6333.75,2025-08-05 15:55:00-04:00,6325.25,flatten,6354.0,6299.75,8.5,420.0
IB,LONG,2025-08-06 10:55:00-04:00,6354.0,2025-08-06 15:30:00-04:00,6379.0,target,6338.38,6379.0,25.0,1245.0
IB,SHORT,2025-08-07 10:50:00-04:00,6373.5,2025-08-07 14:20:00-04:00,6334.5,target,6393.75,6334.5,39.0,1945.0
VA,LONG,2025-08-07 14:30:00-04:00,6342.0,2025-08-07 15:40:00-04:00,6356.65,target,6335.02,6356.65,14.65,727.44
IB,SHORT,2025-08-11 10:45:00-04:00,6409.0,2025-08-11 11:50:00-04:00,6415.75,stop,6415.75,6397.75,-6.75,-342.5
IB,SHORT,2025-08-11 13:35:00-04:00,6409.0,2025-08-11 14:40:00-04:00,6397.75,target,6415.75,6397.75,11.25,557.5
IB,LONG,2025-08-12 11:00:00-04:00,6443.5,2025-08-12 15:55:00-04:00,6467.5,flatten,6424.12,6474.5,24.0,1195.0
IB,SHORT,2025-08-13 10:45:00-04:00,6479.0,2025-08-13 15:55:00-04:00,6491.0,stop,6491.0,6456.25,-12.0,-605.0
VA,SHORT,2025-08-14 10:50:00-04:00,6489.75,2025-08-14 11:10:00-04:00,6482.18,target,6493.32,6482.18,7.57,373.46
IB,LONG,2025-08-14 13:20:00-04:00,6486.75,2025-08-14 15:55:00-04:00,6488.75,flatten,6474.25,6509.5,2.0,95.0
IB,SHORT,2025-08-19 10:45:00-04:00,6453.5,2025-08-19 12:40:00-04:00,6432.25,target,6465.5,6432.25,21.25,1057.5
IB,SHORT,2025-08-21 13:20:00-04:00,6373.0,2025-08-21 13:45:00-04:00,6393.25,stop,6393.25,6336.5,-20.25,-1017.5
IB,LONG,2025-08-25 11:10:00-04:00,6477.75,2025-08-25 13:40:00-04:00,6470.25,stop,6470.25,6490.5,-7.5,-380.0
IB,LONG,2025-08-26 14:10:00-04:00,6462.25,2025-08-26 15:50:00-04:00,6479.25,target,6453.12,6479.25,17.0,845.0
VA,SHORT,2025-08-28 10:55:00-04:00,6496.25,2025-08-28 11:15:00-04:00,6500.8,stop,6500.8,6491.03,-4.55,-232.43
IB,SHORT,2025-09-02 11:35:00-04:00,6377.25,2025-09-02 13:25:00-04:00,6397.5,stop,6397.5,6335.75,-20.25,-1017.5
IB,LONG,2025-09-03 10:40:00-04:00,6459.25,2025-09-03 11:25:00-04:00,6446.12,stop,6446.12,6475.75,-13.12,-661.25
IB,SHORT,2025-09-03 13:40:00-04:00,6433.75,2025-09-03 15:45:00-04:00,6446.12,stop,6446.12,6417.25,-12.38,-623.75
IB,LONG,2025-09-04 10:35:00-04:00,6477.5,2025-09-04 13:50:00-04:00,6495.75,target,6465.5,6495.75,18.25,907.5
IB,LONG,2025-09-08 10:40:00-04:00,6510.75,2025-09-08 12:20:00-04:00,6502.12,stop,6502.12,6524.25,-8.62,-436.25
IB,SHORT,2025-09-08 13:55:00-04:00,6493.5,2025-09-08 14:20:00-04:00,6502.12,stop,6502.12,6480.0,-8.62,-436.25
IB,SHORT,2025-09-10 11:15:00-04:00,6542.0,2025-09-10 11:50:00-04:00,6553.0,stop,6553.0,6523.75,-11.0,-555.0
IB,LONG,2025-09-15 10:40:00-04:00,6621.5,2025-09-15 12:55:00-04:00,6614.0,stop,6614.0,6633.75,-7.5,-380.0
VA,LONG,2025-09-16 10:50:00-04:00,6612.75,2025-09-16 11:00:00-04:00,6610.46,stop,6610.46,6615.89,-2.29,-119.72
IB,SHORT,2025-09-17 11:35:00-04:00,6600.75,2025-09-17 14:00:00-04:00,6610.38,stop,6610.38,6585.25,-9.62,-486.25
IB,LONG,2025-09-17 14:00:00-04:00,6628.0,2025-09-17 14:10:00-04:00,6610.38,stop,6610.38,6643.5,-17.62,-886.25
IB,SHORT,2025-09-17 14:10:00-04:00,6589.75,2025-09-17 14:25:00-04:00,6610.0,stop,6610.0,6574.25,-20.25,-1017.5
IB,LONG,2025-09-22 10:35:00-04:00,6727.25,2025-09-22 12:45:00-04:00,6746.5,target,6715.5,6746.5,19.25,957.5
IB,SHORT,2025-09-23 10:55:00-04:00,6745.5,2025-09-23 12:05:00-04:00,6735.5,target,6751.38,6735.5,10.0,495.0
IB,SHORT,2025-09-24 11:30:00-04:00,6703.5,2025-09-24 12:05:00-04:00,6681.25,target,6717.25,6681.25,22.25,1107.5
IB,LONG,2025-09-25 11:40:00-04:00,6673.25,2025-09-25 13:20:00-04:00,6653.0,stop,6653.0,6714.25,-20.25,-1017.5
IB,SHORT,2025-09-25 14:00:00-04:00,6624.75,2025-09-25 14:15:00-04:00,6645.0,stop,6645.0,6583.75,-20.25,-1017.5
IB,SHORT,2025-09-29 11:15:00-04:00,6714.25,2025-09-29 15:15:00-04:00,6699.0,target,6723.5,6699.0,15.25,757.5
IB,SHORT,2025-09-30 10:35:00-04:00,6695.0,2025-09-30 10:45:00-04:00,6704.88,stop,6704.88,6679.0,-9.88,-498.75
IB,LONG,2025-09-30 14:10:00-04:00,6714.0,2025-09-30 15:25:00-04:00,6730.0,target,6704.88,6730.0,16.0,795.0
IB,LONG,2025-10-06 11:45:00-04:00,6789.5,2025-10-06 15:55:00-04:00,6788.5,flatten,6777.62,6811.5,-1.0,-55.0
IB,SHORT,2025-10-07 10:35:00-04:00,6781.5,2025-10-07 11:05:00-04:00,6763.75,target,6792.75,6763.75,17.75,882.5
VA,LONG,2025-10-09 10:55:00-04:00,6783.0,2025-10-09 11:25:00-04:00,6778.39,stop,6778.39,6791.72,-4.61,-235.39
IB,LONG,2025-10-14 10:35:00-04:00,6663.0,2025-10-14 15:55:00-04:00,6686.0,flatten,6642.75,6731.25,23.0,1145.0
IB,SHORT,2025-10-15 11:40:00-04:00,6719.0,2025-10-15 13:10:00-04:00,6676.75,target,6739.25,6676.75,42.25,2107.5
IB,LONG,2025-10-16 10:40:00-04:00,6748.0,2025-10-16 11:05:00-04:00,6730.75,stop,6730.75,6774.75,-17.25,-867.5
IB,SHORT,2025-10-16 11:40:00-04:00,6713.5,2025-10-16 12:25:00-04:00,6686.75,target,6730.75,6686.75,26.75,1332.5
VA,LONG,2025-10-16 13:25:00-04:00,6697.5,2025-10-16 13:35:00-04:00,6688.76,stop,6688.76,6717.45,-8.74,-442.14
IB,LONG,2025-10-21 10:50:00-04:00,6780.75,2025-10-21 13:00:00-04:00,6768.88,stop,6768.88,6799.75,-11.88,-598.75
IB,LONG,2025-10-21 13:45:00-04:00,6780.5,2025-10-21 15:55:00-04:00,6772.0,flatten,6768.88,6799.5,-8.5,-430.0
IB,SHORT,2025-10-22 10:35:00-04:00,6748.75,2025-10-22 12:30:00-04:00,6721.75,target,6765.62,6721.75,27.0,1345.0
VA,SHORT,2025-10-23 10:50:00-04:00,6754.75,2025-10-23 11:30:00-04:00,6761.63,stop,6761.63,6737.7,-6.88,-349.12
IB,SHORT,2025-10-28 11:40:00-04:00,6906.0,2025-10-28 12:25:00-04:00,6917.0,stop,6917.0,6885.75,-11.0,-555.0
IB,LONG,2025-10-28 13:00:00-04:00,6927.75,2025-10-28 15:55:00-04:00,6925.5,flatten,6917.0,6948.0,-2.25,-117.5
