setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
IB,SHORT,2024-03-07 13:00:00-05:00,62.8,2024-03-07 13:05:00-05:00,63.24,stop,63.24,42.8,-0.44,-26.96
IB,SHORT,2024-03-07 14:30:00-05:00,62.95,2024-03-07 14:35:00-05:00,63.39,stop,63.39,42.95,-0.44,-26.98
IB,SHORT,2024-03-13 11:30:00-04:00,63.5,2024-03-13 11:35:00-04:00,63.94,stop,63.94,49.25,-0.44,-27.06
TX,SHORT,2024-03-18 10:45:00-04:00,5236.5,2024-03-18 11:15:00-04:00,5228.81,target,5252.46,5228.81,7.69,379.53
IB,SHORT,2024-03-18 13:00:00-04:00,5219.25,2024-03-18 13:10:00-04:00,5221.75,tema_exit,5231.38,5208.64,-2.5,-130.0
IB,SHORT,2024-03-18 14:45:00-04:00,5221.75,2024-03-18 15:10:00-04:00,5224.75,tema_exit,5231.38,5210.48,-3.0,-155.0
TX,SHORT,2024-03-19 14:50:00-04:00,5233.75,2024-03-19 15:15:00-04:00,5227.12,target,5249.7,5227.12,6.63,326.55
TX,SHORT,2024-03-20 10:45:00-04:00,5239.5,2024-03-20 11:00:00-04:00,5243.75,tema_exit,5255.47,5233.79,-4.25,-217.5
TX,SHORT,2024-03-20 11:30:00-04:00,5242.75,2024-03-20 12:30:00-04:00,5237.64,target,5258.73,5237.64,5.11,250.45
IB,SHORT,2024-03-20 13:40:00-04:00,5234.5,2024-03-20 13:50:00-04:00,5239.25,tema_exit,5241.38,5224.75,-4.75,-242.5
TX,SHORT,2024-03-21 10:55:00-04:00,5317.0,2024-03-21 11:35:00-04:00,5318.75,tema_exit,5333.2,5309.48,-1.75,-92.5
TX,SHORT,2024-03-21 13:45:00-04:00,5312.5,2024-03-21 14:05:00-04:00,5306.51,target,5328.69,5306.51,5.99,294.66
IB,SHORT,2024-03-21 14:05:00-04:00,5306.5,2024-03-21 14:20:00-04:00,5309.0,tema_exit,5315.0,5296.75,-2.5,-130.0
IB,SHORT,2024-03-21 14:35:00-04:00,5304.25,2024-03-21 14:45:00-04:00,5305.5,tema_exit,5315.0,5293.87,-1.25,-67.5
TX,SHORT,2024-03-25 13:05:00-04:00,5282.25,2024-03-25 13:15:00-04:00,5283.25,tema_exit,5298.35,5277.47,-1.0,-55.0
TX,SHORT,2024-03-25 14:40:00-04:00,5286.0,2024-03-25 15:10:00-04:00,5282.05,target,5302.11,5282.05,3.95,192.54
TX,SHORT,2024-03-26 10:35:00-04:00,5288.75,2024-03-26 10:55:00-04:00,5291.0,tema_exit,5304.87,5282.47,-2.25,-117.5
TX,SHORT,2024-03-26 13:15:00-04:00,5286.25,2024-03-26 13:25:00-04:00,5287.0,tema_exit,5302.36,5281.92,-0.75,-42.5
IB,SHORT,2024-03-26 13:40:00-04:00,5285.0,2024-03-26 14:00:00-04:00,5286.75,tema_exit,5290.38,5275.25,-1.75,-92.5
IB,SHORT,2024-03-26 14:40:00-04:00,5285.0,2024-03-26 15:05:00-04:00,5286.75,tema_exit,5290.38,5275.25,-1.75,-92.5
IB,SHORT,2024-03-27 10:45:00-04:00,5272.0,2024-03-27 10:50:00-04:00,5274.5,tema_exit,5283.38,5260.38,-2.5,-130.0
TX,SHORT,2024-03-28 11:05:00-04:00,5311.0,2024-03-28 11:15:00-04:00,5314.25,tema_exit,5327.18,5305.41,-3.25,-167.5
TX,SHORT,2024-03-28 11:35:00-04:00,5312.0,2024-03-28 13:00:00-04:00,5306.84,target,5328.19,5306.84,5.16,253.02
IB,SHORT,2024-04-01 10:35:00-04:00,5296.0,2024-04-01 11:25:00-04:00,5293.5,tema_exit,5309.38,5283.19,2.5,120.0
IB,SHORT,2024-04-01 13:20:00-04:00,5283.25,2024-04-01 13:45:00-04:00,5289.5,tema_exit,5299.35,5273.5,-6.25,-317.5
TX,SHORT,2024-04-03 14:15:00-04:00,5275.0,2024-04-03 15:00:00-04:00,5268.94,target,5291.08,5268.94,6.06,298.22
IB,SHORT,2024-04-04 11:10:00-04:00,5293.5,2024-04-04 11:25:00-04:00,5297.0,tema_exit,5300.62,5283.75,-3.5,-180.0
IB,SHORT,2024-04-04 13:45:00-04:00,5293.5,2024-04-04 14:00:00-04:00,5283.75,target,5300.62,5283.75,9.75,482.5
