setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
MS_pVAH,SHORT,2024-08-23 13:20:00-04:00,5629.5,2024-08-23 13:25:00-04:00,5633.0,stop,5633.0,5618.75,-3.5,-180.0
OS_GAP_UP,SHORT,2024-08-26 09:30:00-04:00,5667.0,2024-08-26 10:00:00-04:00,5656.0,target,5674.0,5656.0,11.0,545.0
OS_GAP_UP,SHORT,2024-08-29 09:30:00-04:00,5635.0,2024-08-29 09:40:00-04:00,5625.0,target,5640.75,5625.0,10.0,495.0
MS_ONH,SHORT,2024-08-29 14:25:00-04:00,5632.25,2024-08-29 14:35:00-04:00,5620.5,target,5639.75,5620.5,11.75,582.5
MS_pVAH,SHORT,2024-08-29 15:25:00-04:00,5617.5,2024-08-29 15:45:00-04:00,5608.5,target,5629.0,5608.5,9.0,445.0
MS_ONH,SHORT,2024-09-04 11:40:00-04:00,5537.5,2024-09-04 12:25:00-04:00,5545.0,stop,5545.0,5524.0,-7.5,-380.0
MS_pVAH,SHORT,2024-09-09 10:50:00-04:00,5457.5,2024-09-09 11:30:00-04:00,5463.0,stop,5463.0,5419.5,-5.5,-280.0
OS_GAP_UP,SHORT,2024-09-10 09:30:00-04:00,5496.0,2024-09-10 10:10:00-04:00,5479.5,target,5506.25,5479.5,16.5,820.0
MS_pVAH,SHORT,2024-09-10 10:30:00-04:00,5478.75,2024-09-10 10:35:00-04:00,5483.0,stop,5483.0,5470.25,-4.25,-217.5
MS_ONH,SHORT,2024-09-16 13:50:00-04:00,5688.0,2024-09-16 13:55:00-04:00,5627.5,target,5702.75,5627.5,60.5,3020.0
MS_ONH,SHORT,2024-09-18 15:10:00-04:00,5713.0,2024-09-18 15:20:00-04:00,5701.5,target,5715.5,5701.5,11.5,570.0
MS_ONH,SHORT,2024-09-19 15:15:00-04:00,5780.25,2024-09-19 15:20:00-04:00,5783.0,stop,5783.0,5767.0,-2.75,-142.5
MS_pVAH,SHORT,2024-09-24 14:30:00-04:00,5780.75,2024-09-24 14:35:00-04:00,5782.0,stop,5782.0,5771.5,-1.25,-67.5
MS_pVAH,SHORT,2024-09-26 10:55:00-04:00,5791.75,2024-09-26 11:00:00-04:00,5795.0,stop,5795.0,5781.5,-3.25,-167.5
MS_ONH,SHORT,2024-10-02 12:45:00-04:00,5758.0,2024-10-02 13:35:00-04:00,5748.0,target,5767.5,5748.0,10.0,495.0
MS_pVAH,SHORT,2024-10-04 10:35:00-04:00,5753.0,2024-10-04 10:40:00-04:00,5758.0,stop,5758.0,5741.0,-5.0,-255.0
MS_ONH,SHORT,2024-10-08 13:05:00-04:00,5777.0,2024-10-08 13:10:00-04:00,5778.5,stop,5778.5,5763.75,-1.5,-80.0
MS_pVAH,SHORT,2024-10-08 14:00:00-04:00,5788.0,2024-10-08 14:35:00-04:00,5793.0,stop,5793.0,5779.5,-5.0,-255.0
OS_GAP_UP,SHORT,2024-10-14 09:30:00-04:00,5882.5,2024-10-14 09:45:00-04:00,5888.25,stop,5888.25,5867.0,-5.75,-292.5
MS_pVAH,SHORT,2024-10-17 11:00:00-04:00,5887.0,2024-10-17 11:05:00-04:00,5897.0,stop,5897.0,5871.25,-10.0,-505.0
MS_pVAH,SHORT,2024-10-22 15:15:00-04:00,5894.75,2024-10-22 15:55:00-04:00,5892.5,flatten,5902.0,5883.5,2.25,107.5
MS_pVAH,SHORT,2024-10-24 10:30:00-04:00,5855.0,2024-10-24 10:50:00-04:00,5845.5,target,5861.0,5845.5,9.5,470.0
MS_ONH,SHORT,2024-10-25 13:10:00-04:00,5867.5,2024-10-25 13:40:00-04:00,5847.5,target,5878.5,5847.5,20.0,995.0
MS_pVAH,SHORT,2024-10-25 13:50:00-04:00,5855.25,2024-10-25 13:55:00-04:00,5847.5,target,5860.0,5847.5,7.75,382.5
MS_pVAH,SHORT,2024-10-28 10:40:00-04:00,5876.75,2024-10-28 11:00:00-04:00,5867.5,target,5885.0,5867.5,9.25,457.5
MS_pVAH,SHORT,2024-11-01 12:40:00-04:00,5776.75,2024-11-01 12:45:00-04:00,5778.0,stop,5778.0,5761.5,-1.25,-67.5
MS_ONH,SHORT,2024-11-01 13:05:00-04:00,5771.25,2024-11-01 13:10:00-04:00,5773.5,stop,5773.5,5761.5,-2.25,-117.5
OS_GAP_UP,SHORT,2024-11-05 09:30:00-05:00,5765.5,2024-11-05 09:40:00-05:00,5772.5,stop,5772.5,5760.0,-7.0,-355.0
OS_GAP_UP,SHORT,2024-11-07 09:30:00-05:00,5979.0,2024-11-07 10:00:00-05:00,5987.0,stop,5987.0,5968.0,-8.0,-405.0
OS_GAP_UP,SHORT,2024-11-11 09:30:00-05:00,6039.0,2024-11-11 12:45:00-05:00,6028.0,target,6058.25,6028.0,11.0,545.0
MS_pVAH,SHORT,2024-11-11 13:00:00-05:00,6020.25,2024-11-11 15:55:00-05:00,6032.0,stop,6032.0,6011.0,-11.75,-592.5
MS_pVAH,SHORT,2024-11-13 14:20:00-05:00,6025.75,2024-11-13 14:40:00-05:00,6016.5,target,6032.0,6016.5,9.25,457.5
MS_ONH,SHORT,2024-11-13 15:35:00-05:00,6025.0,2024-11-13 15:50:00-05:00,6016.5,target,6034.25,6016.5,8.5,420.0
MS_ONH,SHORT,2024-11-18 12:40:00-05:00,5917.75,2024-11-18 12:55:00-05:00,5919.75,stop,5919.75,5901.0,-2.0,-105.0
MS_pVAH,SHORT,2024-11-18 14:45:00-05:00,5916.5,2024-11-18 14:50:00-05:00,5918.0,stop,5918.0,5908.0,-1.5,-80.0
MS_ONH,SHORT,2024-11-19 14:50:00-05:00,5933.75,2024-11-19 15:45:00-05:00,5937.75,stop,5937.75,5924.5,-4.0,-205.0
MS_ONH,SHORT,2024-11-21 15:55:00-05:00,5969.75,2024-11-21 16:00:00-05:00,5971.5,flatten,5975.5,5945.5,-1.75,-92.5
MS_pVAH,SHORT,2024-11-22 11:35:00-05:00,5979.5,2024-11-22 12:10:00-05:00,5988.0,stop,5988.0,5968.5,-8.5,-430.0
MS_ONH,SHORT,2024-11-22 15:00:00-05:00,5977.25,2024-11-22 15:05:00-05:00,5981.0,stop,5981.0,5962.75,-3.75,-192.5
MS_pVAH,SHORT,2024-11-25 12:40:00-05:00,5985.25,2024-11-25 12:50:00-05:00,5995.0,stop,5995.0,5976.0,-9.75,-492.5
OS_GAP_UP,SHORT,2024-11-26 09:30:00-05:00,6023.5,2024-11-26 09:35:00-05:00,6020.0,target,6030.0,6020.0,3.5,170.0
MS_ONH,SHORT,2024-11-26 10:40:00-05:00,6023.5,2024-11-26 11:35:00-05:00,6029.0,stop,6029.0,6015.5,-5.5,-280.0
OS_GAP_UP,SHORT,2024-11-28 09:30:00-05:00,6027.5,2024-11-28 18:00:00-05:00,6026.0,flatten,6033.0,6022.0,1.5,70.0
OS_GAP_UP,SHORT,2024-12-02 09:30:00-05:00,6059.25,2024-12-02 09:55:00-05:00,6051.5,target,6067.0,6051.5,7.75,382.5
