setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
MS_ONH,SHORT,2024-11-21 15:55:00-05:00,5969.75,2024-11-21 16:00:00-05:00,5971.5,flatten,5975.5,5945.5,-1.75,-92.5
MS_pVAH,SHORT,2024-11-22 11:35:00-05:00,5979.5,2024-11-22 12:10:00-05:00,5988.0,stop,5988.0,5968.5,-8.5,-430.0
MS_ONH,SHORT,2024-11-22 15:00:00-05:00,5977.25,2024-11-22 15:05:00-05:00,5981.0,stop,5981.0,5962.75,-3.75,-192.5
MS_pVAH,SHORT,2024-11-25 12:40:00-05:00,5985.25,2024-11-25 12:50:00-05:00,5995.0,stop,5995.0,5976.0,-9.75,-492.5
MS_ONL,LONG,2024-11-25 14:05:00-05:00,6005.0,2024-11-25 14:20:00-05:00,6001.5,stop,6001.5,6025.0,-3.5,-180.0
OS_GAP_UP,SHORT,2024-11-26 09:30:00-05:00,6023.5,2024-11-26 09:35:00-05:00,6020.0,target,6030.0,6020.0,3.5,170.0
MS_ONH,SHORT,2024-11-26 10:40:00-05:00,6023.5,2024-11-26 11:35:00-05:00,6029.0,stop,6029.0,6015.5,-5.5,-280.0
OS_GAP_UP,SHORT,2024-11-28 09:30:00-05:00,6027.5,2024-11-28 18:00:00-05:00,6026.0,flatten,6033.0,6022.0,1.5,70.0
OS_GAP_UP,SHORT,2024-12-02 09:30:00-05:00,6059.25,2024-12-02 09:55:00-05:00,6051.5,target,6067.0,6051.5,7.75,382.5
MS_pVAH,SHORT,2024-12-02 13:30:00-05:00,6060.25,2024-12-02 14:55:00-05:00,6064.0,stop,6064.0,6052.0,-3.75,-192.5
MS_ONL,LONG,2024-12-03 11:35:00-05:00,6051.5,2024-12-03 11:40:00-05:00,6050.0,stop,6050.0,6059.5,-1.5,-80.0
OS_GAP_UP,SHORT,2024-12-04 09:30:00-05:00,6081.0,2024-12-04 14:20:00-05:00,6091.0,stop,6091.0,6063.0,-10.0,-505.0
OS_GAP_UP,SHORT,2024-12-06 09:30:00-05:00,6101.5,2024-12-06 09:45:00-05:00,6108.0,stop,6108.0,6096.5,-6.5,-330.0
OS_GAP_DN,LONG,2024-12-12 09:30:00-05:00,6076.75,2024-12-12 11:00:00-05:00,6086.0,target,6066.0,6086.0,9.25,457.5
MS_ONH,SHORT,2024-12-16 15:50:00-05:00,6148.5,2024-12-16 15:55:00-05:00,6151.25,stop,6151.25,6065.5,-2.75,-142.5
MS_ONH,SHORT,2024-12-18 11:50:00-05:00,6143.25,2024-12-18 14:00:00-05:00,6129.5,target,6151.0,6129.5,13.75,682.5
MS_pVAH,SHORT,2024-12-18 14:00:00-05:00,6118.0,2024-12-18 14:50:00-05:00,6054.5,target,6138.0,6054.5,63.5,3170.0
MS_ONH,SHORT,2024-12-23 15:35:00-05:00,6026.5,2024-12-23 15:45:00-05:00,6037.0,stop,6037.0,6014.5,-10.5,-530.0
OS_GAP_UP,SHORT,2024-12-24 09:30:00-05:00,6048.5,2024-12-24 09:40:00-05:00,6056.5,stop,6056.5,6036.75,-8.0,-405.0
OS_GAP_DN,LONG,2024-12-26 09:30:00-05:00,6083.25,2024-12-26 11:40:00-05:00,6099.0,target,6062.5,6099.0,15.75,782.5
MS_pVAH,SHORT,2024-12-26 13:00:00-05:00,6095.0,2024-12-26 15:05:00-05:00,6104.0,stop,6104.0,6086.5,-9.0,-455.0
MS_ONL,LONG,2024-12-30 11:15:00-05:00,5957.0,2024-12-30 15:55:00-05:00,5958.0,flatten,5941.25,6014.5,1.0,45.0
OS_GAP_UP,SHORT,2024-12-31 09:30:00-05:00,5974.0,2024-12-31 10:05:00-05:00,5958.0,target,5988.25,5958.0,16.0,795.0
MS_ONL,LONG,2024-12-31 15:25:00-05:00,5946.25,2024-12-31 15:30:00-05:00,5940.0,stop,5940.0,5960.0,-6.25,-317.5
MS_ONL,LONG,2025-01-02 15:00:00-05:00,5908.75,2025-01-02 15:05:00-05:00,5906.75,stop,5906.75,5938.5,-2.0,-105.0
MS_ONH,SHORT,2025-01-06 13:00:00-05:00,6042.75,2025-01-06 13:45:00-05:00,6028.75,target,6045.75,6028.75,14.0,695.0
OS_GAP_UP,SHORT,2025-01-07 09:30:00-05:00,6037.25,2025-01-07 10:00:00-05:00,6024.0,target,6050.5,6024.0,13.25,657.5
MS_ONL,LONG,2025-01-10 13:20:00-05:00,5894.0,2025-01-10 14:05:00-05:00,5884.0,stop,5884.0,5921.75,-10.0,-505.0
MS_pVAH,SHORT,2025-01-14 11:40:00-05:00,5854.25,2025-01-14 12:40:00-05:00,5861.0,stop,5861.0,5836.5,-6.75,-342.5
MS_ONL,LONG,2025-01-14 13:25:00-05:00,5879.75,2025-01-14 14:55:00-05:00,5870.5,stop,5870.5,5907.0,-9.25,-467.5
MS_ONH,SHORT,2025-01-15 11:15:00-05:00,5973.25,2025-01-15 13:25:00-05:00,5983.75,stop,5983.75,5952.5,-10.5,-530.0
MS_pVAH,SHORT,2025-01-16 11:00:00-05:00,5998.5,2025-01-16 11:05:00-05:00,6004.0,stop,6004.0,5987.5,-5.5,-280.0
MS_ONL,LONG,2025-01-16 11:35:00-05:00,5987.25,2025-01-16 11:40:00-05:00,5979.0,stop,5979.0,5996.0,-8.25,-417.5
MS_ONH,SHORT,2025-01-17 15:00:00-05:00,6034.75,2025-01-17 15:05:00-05:00,6039.5,stop,6039.5,6027.0,-4.75,-242.5
MS_pVAH,SHORT,2025-01-20 10:40:00-05:00,6048.0,2025-01-20 10:50:00-05:00,6053.0,stop,6053.0,6039.5,-5.0,-255.0
